pays,"Superficie
En km² ",PIB par habitants,espérance de vie,"Ressource en eau
Milliards de m³ ",nb. habitants
 Afghanistan,652090,615,"60,03","47,15",31627506
 Afrique du Sud,1221037,5784,"56,74","44,8",54001953
 Albanie,28748,4200,"77,54","26,9",2894475
 Algérie,2381743,4345,"74,57","11,25",38934334
 Allemagne,357114,41267,"81,04",107,80889505
 Angola,1246700,4062,"51,87",148,24227524
 Antigua-et-Barbuda,442,14391,"75,78","0,05",90900
 Arabie saoudite,2149680,20139,"74,18","2,4",30886545
 Argentine,2780400,13428,"75,99",292,42980026
 Arménie,29743,3547,"74,56","6,86",3006154
 Australie,7692060,51642,"82,2",492,23490736
 Autriche,83871,43547,"80,89",55,8534492
 Azerbaïdjan,86600,6794,"70,69","8,12",9537823
 Bahamas,13943,24394,"75,07","0,02",383054
 Bahreïn,758,23899,"76,55",0,1361930
 Bangladesh,143998,1266,"71,25",105,159077513
 Barbade,430,15912,"75,33","0,08",283380
 Belgique,30528,40456,"80,39",12,11225207
 Belize,22966,4842,"69,98","15,26",351706
 Bénin,114763,709,"59,31","10,3",10598482
 Bhoutan,38394,2837,"69,1",78,765008
 Biélorussie,207600,6583,"72,47","37,2",9470000
 Bolivie,1098581,2915,"67,91","303,5",10561887
 Bosnie-Herzégovine,51197,4030,"76,28","35,5",3817554
 Botswana,582000,6150,"64,36","2,4",2219937
 Brésil,8514877,8802,"74,12",5661,206077898
 Brunei,5765,27759,"78,55","8,5",417394
 Bulgarie,110879,6582,"74,47",21,7223938
 Burkina Faso,272967,631,"58,24","12,5",17589198
 Burundi,27834,315,"56,25","10,06",10816860
 Cambodge,181035,1140,"67,77","120,6",15328136
 Cameroun,475442,1234,"55,04",273,22773014
 Canada,9984670,43935,"81,4",2850,35540419
 Cap-Vert,4033,3127,"72,97","0,3",513906
 Chili,756102,13331,"81,2",885,17762647
 Chine,9598095,8280,"75,35",2813,1364270000
 Chypre,9251,21531,"79,95","0,78",1153658
 Colombie,1141748,5687,"73,81",2270,47791393
 Comores,2170,737,"62,93","1,2",769991
 Corée du Nord,120538,,"69,79",67,25026772
 Corée du Sud,99828,27513,"81,46","64,85",50423955
 Costa Rica,51100,10672,"79,23",113,4757606
 Côte d'Ivoire,322463,1319,"51,21","76,84",22157107
 Croatie,56594,11551,"77,13","37,7",4238389
 Cuba,109886,,"79,26","38,12",11379111
