noms&adjectifs&adverbes&verbes&pronoms perso&articles&prepositions&possessive pronouns&
&&&&& &&&
witch&big&always&fall&I&a &up&my&\\ \hline
cat&yellow&yesterday&save&you&the &in&your&\\ \hline
superheroe&funny&silently&fly&he&&out&his&\\ \hline
yogurt&disgusting&kindly&shine&she &&of&her&\\ \hline
moon&black&again&appear&it&&off&their&\\ \hline
teacher&stinky&inside&jumped&we&&on&its&\\ \hline
book&small&entirely&Will eat&they&&at&&\\ \hline
mum&nasty&often&hide&me&&to&&\\ \hline
tree&huge&never&killed&&&over&&\\ \hline
bacon sandwich&tasty&now&walk&&&&&\\ \hline
&&cheerfully&drive&&&&&\\ \hline
&&tomorrow&write&&&&&\\ \hline
&&&tell a secret&&&&&\\ \hline
&&&ate&&&&&\\ \hline
&&&appeared&&&&&\\ \hline
&&&hides&&&&&\\ \hline
&&&will shine&&&&&\\ \hline
